"id","info_carrier","blattangabe","blattangabe_annotat","annotat_text","annotat_tei_xml","annotat_searchstring"
"AN_0015_000015","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","125vb","Explicit In Vigi(lia) Natiuitat(is) | Marie Anno .62. .Liber 7(mus) (et) vltim(us) jn Com(men)to | hugon(is) S(upe)r apocalipsin.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000015</id></teiHeader><text><body><p><w>Explicit In Vigi(lia) Natiuitat(is) | Marie Anno .62. .Liber 7(mus) (et) vltim(us) jn Com(men)to | hugon(is) S(upe)r apocalipsin.</w></p></body></text></TEI>","Explicit In Vigilia Natiuitatis Marie Anno .62. .Liber 7mus et vltimus jn Commento hugonis Super apocalipsin."
"AN_0015_000016","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","126r–185v","126r (alt 156r)","Amb(ro)#.si(us) doctor #.sign(is) hijs ign(is) (et) ÿmn(us) | Enitet hic m(u)lt(is) enit(et) eloquijs","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000016</id></teiHeader><text><body><p><w>Amb(ro)ſi(us) doctor ſign(is) hijs ign(is) (et) ÿmn(us) | Enitet hic m(u)lt(is) enit(et) eloquijs</w></p></body></text></TEI>","Ambroſius doctor ſignis hijs ignis et ÿmnus Enitet hic multis enitet eloquijs"
"AN_0015_000017","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","126r (alt 156r)","Verweis 1: vide auto(r)i(tates) h(uius) exameron p(ostea) a k(arta) <k>227<gb>217</gb></k> jn Microco#.smo. [unten, Bl. 187r (alt 217r)]","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000017</id></teiHeader><text><body><p><w>Verweis 1: vide auto(r)i(tates) h(uius) exameron p(ostea) a k(arta) </w><k><w>227</w><gb><w>217</w></gb></k><w> jn Microcoſmo. [unten, Bl. 187r (alt 217r)]</w></p></body></text></TEI>","Verweis 1: vide autoritates huius exameron postea a karta 227 217 jn Microcoſmo. [unten, Bl. 187r alt 217r]"
"AN_0015_000018","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","126r (alt 156r)","Verweis 2: Vide e(ius) omelÿas <ul>luce</ul> .5. (et) 4(o) f(er)ia 6(a) (et) #.sab(ba)to | p(ost) penteco#.stes in li(bro) ho(rarum) albo a k(arta) .9. [›Liber horarum‹]","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000018</id></teiHeader><text><body><p><w>Verweis 2: Vide e(ius) omelÿas </w><underline><w>luce</w></underline><w> .5. (et) 4(o) f(er)ia 6(a) (et) ſab(ba)to | p(ost) pentecoſtes in li(bro) ho(rarum) albo a k(arta) .9. [›Liber horarum‹]</w></p></body></text></TEI>","Verweis 2: Vide eius omelÿas luce .5. et 4o feria 6a et ſabbato post pentecoſtes in libro horarum albo a karta .9. [›Liber horarum‹]"
"AN_0015_000019","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","126r (alt 156r)","hexameron (com)po(situr) ab hexa q(uo)d e(st) #.sex (et) meros dies","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000019</id></teiHeader><text><body><p><w>hexameron (com)po(situr) ab hexa q(uo)d e(st) ſex (et) meros dies</w></p></body></text></TEI>","hexameron compositur ab hexa quod est ſex et meros dies"
"AN_0015_000020","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","130va","<?gb>(ve)l co(n)#.sueni#.s#.se</?gb>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000020</id></teiHeader><text><body><p/></body></text></TEI>","vel conſueniſſe"
"AN_0015_000021","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","134rb","Allegor(i)ce p(er) die(m) mane jh(esus) d<frag>icitur</frag> | fi(lius) q(ui) (et) <del>p</del> origo luc(is) et(er)ne. ve#.s<frag>per</frag> | v(er)o creat(us) ho(mo) c(re)at(ur)a(rum) vltimu<frag>s</frag> | hic aplica eu(a)n(gelium) #.su#.scita(tionis) la#.za<frag>ri</frag> | jo(hannis) 11(o).","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000021</id></teiHeader><text><body><p><w>Allegor(i)ce p(er) die(m) mane jh(esus) d</w><gap reason=""damage"" customTag=""frag with supplied reconstruction""><supplied reason=""reconstruction"">icitur</supplied></gap><w> | fi(lius) q(ui) (et) </w><del><w>p</w></del><w> origo luc(is) et(er)ne. veſ</w><gap reason=""damage"" customTag=""frag with supplied reconstruction""><supplied reason=""reconstruction"">per</supplied></gap><w> | v(er)o creat(us) ho(mo) c(re)at(ur)a(rum) vltimu</w><gap reason=""damage"" customTag=""frag with supplied reconstruction""><supplied reason=""reconstruction"">s</supplied></gap><w> | hic aplica eu(a)n(gelium) ſuſcita(tionis) laʒa</w><gap reason=""damage"" customTag=""frag with supplied reconstruction""><supplied reason=""reconstruction"">ri</supplied></gap><w> | jo(hannis) 11(o).</w></p></body></text></TEI>","Allegorice per diem mane jhesus dicitur filius qui et p origo lucis eterne. veſper vero creatus homo creaturarum vltimus hic aplica euangelium ſuſcitationis laʒari johannis 11o."
"AN_0015_000022","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","135rb (alt 165rb)","h(ic) (con)cludit d(e) p(rimo) die","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000022</id></teiHeader><text><body><p><w>h(ic) (con)cludit d(e) p(rimo) die</w></p></body></text></TEI>","hic concludit de primo die"
"AN_0015_000023","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","135rb (alt 165rb)","Verweis: vide d(e) h(oc) 2(o) die wÿlhelmu<frag>m</frag> | duranti in r(ati)onali de f(er)ia 2(a) | p(ost) remi(ni)#.sce(re) li(bro) .6 / 166 kar<frag>ta</frag> [Wilhelm Durandus, ›Rationale‹]","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000023</id></teiHeader><text><body><p><w>vide d(e) h(oc) 2(o) die wÿlhelmu</w><gap reason=""damage"" customTag=""frag with supplied reconstruction""><supplied reason=""reconstruction"">m</supplied></gap><w> | duranti in r(ati)onali de f(er)ia 2(a) | p(ost) remi(ni)ſce(re) li(bro) .6 / 166 kar</w><gap reason=""damage"" customTag=""frag with supplied reconstruction""><supplied reason=""reconstruction"">ta</supplied></gap><w> [Wilhelm Durandus, ›Rationale‹]</w></p></body></text></TEI>","vide de hoc 2o die wÿlhelmum duranti in rationali de feria 2a post reminiſcere libro .6 / 166 karta [Wilhelm Durandus, ›Rationale‹]"
"AN_0015_000024","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","135rb (alt 165rb)","(contra) poetica(m) #.sua#.sio(nem) (et) ph(il)o(sophorum)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000024</id></teiHeader><text><body><p><w>(contra) poetica(m) ſuaſio(nem) (et) ph(il)o(sophorum)</w></p></body></text></TEI>","contra poeticam ſuaſionem et philosophorum"
"AN_0015_000025","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","135v (alt 165v)","Secunda dies","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000025</id></teiHeader><text><body><p><w>Secunda dies</w></p></body></text></TEI>","Secunda dies"
"AN_0015_000026","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","135vb (alt 165vb)","q(uid) f(ir)ma(mentum) | (et) q(uo)t celi … (contra) Mathe(ma)|ticos.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000026</id></teiHeader><text><body><p><w>q(uid) f(ir)ma(mentum) | (et) q(uo)t celi … (contra) Mathe(ma)|ticos.</w></p></body></text></TEI>","quid firmamentum et quot celi … contra Mathematicos."
"AN_0015_000027","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","136ra (alt 166ra)","#.son(um) #.sp(er)a(rum) | fi(er)j <zw>v(ere)</zw> p(ro)bat","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000027</id></teiHeader><text><body><p><w>ſon(um) ſp(er)a(rum) | fi(er)j </w><zw><w>v(ere)</w></zw><w> p(ro)bat</w></p></body></text></TEI>","ſonum ſperarum fierj vere probat"
"AN_0015_000028","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","136v (alt 166v)","De #.secundo die q(uo) f(a)cta e#.st / aqua.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000028</id></teiHeader><text><body><p><w>De ſecundo die q(uo) f(a)cta eſt / aqua.</w></p></body></text></TEI>","De ſecundo die quo facta eſt / aqua."
"AN_0015_000029","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","136va (alt 166va)","p(er) to(tum) foliu(m) di#.spu(ta)ndo p(ro)bat / aqua(m) | (et) #.sup(ra) f(ir)mam(entum) e#.s#.se (et) #.sub f(ir)mam(en)to | diui#.sa(m).","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000029</id></teiHeader><text><body><p><w>p(er) to(tum) foliu(m) diſpu(ta)ndo p(ro)bat / aqua(m) | (et) ſup(ra) f(ir)mam(entum) eſſe (et) ſub f(ir)mam(en)to | diuiſa(m).</w></p></body></text></TEI>","per totum folium diſputando probat / aquam et ſupra firmamentum eſſe et ſub firmamento diuiſam."
"AN_0015_000030","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","136va (alt 166va)","Verweis: vide pl(us) de aq(ua) p(ostea) | i(n) 3(o) die a k(arta) .171. <sig>Buchstabe E</sig <sig>Buchstabe F</sig> [unten, Bl. 140v (alt 170v)]","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000030</id></teiHeader><text><body><p><w>vide pl(us) de aq(ua) p(ostea) | i(n) 3(o) die a k(arta) .171. </w><symbol type=""letter"" desc=""E&lt;/sig &lt;sig&gt; F""><w>E</w><w> F</w></symbol><w> [unten, Bl. 140v (alt 170v)]</w></p></body></text></TEI>","vide plus de aqua postea in 3o die a karta .171. Buchstabe EBuchstabe F [unten, Bl. 140v alt 170v]"
"AN_0015_000031","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","136va (alt 166va)","jmp(ro)bat dic(e)ntes aq(uam) | #.sup(ra) celu(m) e#.s#.se n(on) po#.s#.se","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000031</id></teiHeader><text><body><p><w>jmp(ro)bat dic(e)ntes aq(uam) | ſup(ra) celu(m) eſſe n(on) poſſe</w></p></body></text></TEI>","jmprobat dicentes aquam ſupra celum eſſe non poſſe"
"AN_0015_000032","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","137ra (alt 167ra)","deo nil i(m)|po#.s#.si(bile)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000032</id></teiHeader><text><body><p><w>deo nil i(m)|poſſi(bile)</w></p></body></text></TEI>","deo nil impoſſibile"
"AN_0015_000033","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","137v (alt 167v)","D(e) 2(o) die faction(is) aquȩ","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000033</id></teiHeader><text><body><p><w>D(e) 2(o) die faction(is) aquȩ</w></p></body></text></TEI>","De 2o die factionis aquȩ"
"AN_0015_000034","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","137va (alt 167va)","danubij flux(us) (et) | ort(us) … Rheni origo (et) flux(us) … padi o(r)igo (et) flux(us)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000034</id></teiHeader><text><body><p><w>danubij flux(us) (et) | ort(us) … Rheni origo (et) flux(us) … padi o(r)igo (et) flux(us)</w></p></body></text></TEI>","danubij fluxus et ortus … Rheni origo et fluxus … padi origo et fluxus"
"AN_0015_000035","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","137vb (alt 167vb","Rhodan(us) … na(tura)le exp(er)i|m(en)tu(m) adduc(it)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000035</id></teiHeader><text><body><p><w>Rhodan(us) … na(tura)le exp(er)i|m(en)tu(m) adduc(it)</w></p></body></text></TEI>","Rhodanus … naturale experimentum adducit"
"AN_0015_000036","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","138ra (alt 168ra)","q(ui)da(m) #.sole(m) a | motu nimio | calo(r)e(m) duce(re) | a#.s#.serunt ","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000036</id></teiHeader><text><body><p><w>q(ui)da(m) ſole(m) a | motu nimio | calo(r)e(m) duce(re) | aſſerunt </w></p></body></text></TEI>","quidam ſolem a motu nimio calorem ducere aſſerunt"
"AN_0015_000037","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","138rb (alt 168rb)","Ma(r)e cur #.sal#.sa(m) aq(ua) | h(ab)eat q(uo)ru(n)d(am) opinio … Celu(m) no(men) (comm)u(n)e (et) g(e)n(er)ale | (et) f(ir)mam(entum) #.speciale di<frag>citur</frag>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000037</id></teiHeader><text><body><p><w>Ma(r)e cur ſalſa(m) aq(ua) | h(ab)eat q(uo)ru(n)d(am) opinio … Celu(m) no(men) (comm)u(n)e (et) g(e)n(er)ale | (et) f(ir)mam(entum) ſpeciale di</w><gap reason=""damage"" customTag=""frag with supplied reconstruction""><supplied reason=""reconstruction"">citur</supplied></gap></p></body></text></TEI>","Mare cur ſalſam aqua habeat quorundam opinio … Celum nomen commune et generale et firmamentum ſpeciale dicitur"
"AN_0015_000038","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","138v (alt 168v)","D(e) 2(o) die (et) factione firmam(en)ti.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000038</id></teiHeader><text><body><p><w>D(e) 2(o) die (et) factione firmam(en)ti.</w></p></body></text></TEI>","De 2o die et factione firmamenti."
"AN_0015_000039","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","138va (alt 168va)","Vranos t(er)ra ob#.sc(ur)ior | nu(n)cupa(tur) … Celu(m) q(uo) t(em)p(or)e pluuia(m) | n(on) dedit","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000039</id></teiHeader><text><body><p><w>Vranos t(er)ra obſc(ur)ior | nu(n)cupa(tur) … Celu(m) q(uo) t(em)p(or)e pluuia(m) | n(on) dedit</w></p></body></text></TEI>","Vranos terra obſcurior nuncupatur … Celum quo tempore pluuiam non dedit"
"AN_0015_000040","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","138vb (alt 168vb)","nix q(uomodo) fiat … nix ros gelu | frig(us) e#.st(us) v(era)| dici(tur) p(o)t(est) aq(ua) ","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000040</id></teiHeader><text><body><p><w>nix q(uomodo) fiat … nix ros gelu | frig(us) eſt(us) v(era)| dici(tur) p(o)t(est) aq(ua) </w></p></body></text></TEI>","nix quomodo fiat … nix ros gelu frigus eſtus vera dicitur potest aqua"
"AN_0015_000041","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","139ra (alt 169ra)","d(e) di(vi)n(is) <ins>n(on)</ins> l(i)c(et) | di#.spu(ta)re | <sig>Nota-Zeichen</sig>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000041</id></teiHeader><text><body><p><w>d(e) di(vi)n(is) </w><w> l(i)c(et) | diſpu(ta)re | </w><symbol type=""Nota-Zeichen""/></p></body></text></TEI>","de divinis non licet diſputare Nota-Zeichen"
"AN_0015_000042","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","139rb (alt 169rb)","O(mn)i(a) <sic>artificu(m)</sic> f(a)cte y(ma)gi(n)es | (et) i(n)#.st(ructa) ad p(ar)te(m) cur n(on) | in to(to) laudan(tur)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000042</id></teiHeader><text><body><p><w>O(mn)i(a) </w><sic><w>artificu(m)</w></sic><w> f(a)cte y(ma)gi(n)es | (et) i(n)ſt(ructa) ad p(ar)te(m) cur n(on) | in to(to) laudan(tur)</w></p></body></text></TEI>","Omnia artificum facte ymagines et inſtructa ad partem cur non in toto laudantur"
"AN_0015_000043","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","139vb (alt 169vb)","p(salmu)s .113. … (con)g(re)ga(tio) aq(uarum)| ecc(les)ie #.s(ignificat) | (con)g(re)gac(i)o(nem)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000043</id></teiHeader><text><body><p><w>p(salmu)s .113. … (con)g(re)ga(tio) aq(uarum)| ecc(les)ie ſ(ignificat) | (con)g(re)gac(i)o(nem)</w></p></body></text></TEI>","psalmus .113. … congregatio aquarum ecclesie ſignificat congregacionem"
"AN_0015_000044","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","140ra (alt 170ra)","Vall(is) q(uid) | dica(tur) mi#.stice … no(ta) aplicac(i)o(nem) | aque (et) fall(is)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000044</id></teiHeader><text><body><p><w>Vall(is) q(uid) | dica(tur) miſtice … no(ta) aplicac(i)o(nem) | aque (et) fall(is)</w></p></body></text></TEI>","Vallis quid dicatur miſtice … nota aplicacionem aque et fallis"
"AN_0015_000045","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","140rb (alt 170rb)","Con(tra) #.scenica ca(r)mi(n)a … Aulea ecc(les)ia di(citur)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000045</id></teiHeader><text><body><p><w>Con(tra) ſcenica ca(r)mi(n)a … Aulea ecc(les)ia di(citur)</w></p></body></text></TEI>","Contra ſcenica carmina … Aulea ecclesia dicitur"
"AN_0015_000046","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","140v (alt 170v)","de 3(o) die q(uo) f(a)cta arida","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000046</id></teiHeader><text><body><p><w>de 3(o) die q(uo) f(a)cta arida</w></p></body></text></TEI>","de 3o die quo facta arida"
"AN_0015_000047","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","140va (alt 170va)","Con(tra) loÿcos dic(e)n(tes) om(n)i | co(r)p(or)i na(turaliter) #.spe(ciem) color(is) i(n)#.(esse)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000047</id></teiHeader><text><body><p><w>Con(tra) loÿcos dic(e)n(tes) om(n)i | co(r)p(or)i na(turaliter) ſpe(ciem) color(is) i(n)#.(esse)</w></p></body></text></TEI>","Contra loÿcos dicentes omni corpori naturaliter ſpeciem coloris in#.esse"
"AN_0015_000048","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","140vb (alt 170vb)","(contra) r(e)plica(tiones) | (con)g(re)gac(i)o(nem) aq(uarum) … R(espon)d(et)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000048</id></teiHeader><text><body><p><w>(contra) r(e)plica(tiones) | (con)g(re)gac(i)o(nem) aq(uarum) … R(espon)d(et)</w></p></body></text></TEI>","contra replicationes congregacionem aquarum … Respondet"
"AN_0015_000049","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","141r (alt 171r)","de aqua","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000049</id></teiHeader><text><body><p><w>de aqua</w></p></body></text></TEI>","de aqua"
"AN_0015_000050","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","141ra (alt 171ra)","p(ro)bat aq(uam) | voce dei | labile(m) f(a)cta(m) | q(ue) an(te) #.stabat … Eq(uo)r cur d(i)cta | #.sit aq(ua)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000050</id></teiHeader><text><body><p><w>p(ro)bat aq(uam) | voce dei | labile(m) f(a)cta(m) | q(ue) an(te) ſtabat … Eq(uo)r cur d(i)cta | ſit aq(ua)</w></p></body></text></TEI>","probat aquam voce dei labilem factam que ante ſtabat … Equor cur dicta ſit aqua"
"AN_0015_000051","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","141rb (alt 171rb)","n(on) potu(it) aq(uma) educe(re) | q(ue) erat. … Sedata tempe#.stas e(st) r(e)fu#.sa | t(ra)nq(ui)lli(tas). … p(ro)bat na(turam) (con)u(er)ti po#.s#.se ad | volu(ntatem) dei.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000051</id></teiHeader><text><body><p><w>n(on) potu(it) aq(uma) educe(re) | q(ue) erat. … Sedata tempeſtas e(st) r(e)fuſa | t(ra)nq(ui)lli(tas). … p(ro)bat na(turam) (con)u(er)ti poſſe ad | volu(ntatem) dei.</w></p></body></text></TEI>","non potuit aquma educere que erat. … Sedata tempeſtas est refuſa tranquillitas. … probat naturam conuerti poſſe ad voluntatem dei."
"AN_0015_000052","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","141v (alt 171v)","de 3(o) die et d(e) aqua","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000052</id></teiHeader><text><body><p><w>de 3(o) die et d(e) aqua</w></p></body></text></TEI>","de 3o die et de aqua"
"AN_0015_000053","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","141va (alt 171va)","al(iter) n(on) redundat","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000053</id></teiHeader><text><body><p><w>al(iter) n(on) redundat</w></p></body></text></TEI>","aliter non redundat"
"AN_0015_000054","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","141vb (alt 171vb)","m(u)lti(tudo) (et) | nu(merus) ma|riu(m).","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000054</id></teiHeader><text><body><p><w>m(u)lti(tudo) (et) | nu(merus) ma|riu(m).</w></p></body></text></TEI>","multitudo et numerus marium."
"AN_0015_000055","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","142ra","p(ro)bat om(nem) | aq(uam) (esse)  mare … nu(merus) t(er)ra(rum)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000055</id></teiHeader><text><body><p><w>p(ro)bat om(nem) | aq(uam) (esse)  mare … nu(merus) t(er)ra(rum)</w></p></body></text></TEI>","probat omnem aquam esse mare … numerus terrarum"
"AN_0015_000056","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","142v","Dies Terci(us) de aqua (et) t(er)ra","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000056</id></teiHeader><text><body><p><w>Dies Terci(us) de aqua (et) t(er)ra</w></p></body></text></TEI>","Dies Tercius de aqua et terra"
"AN_0015_000057","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","142va","Sic(ut) n(on) t(antu)m duo l(u)m(in)aria | #.s(ed) (et) #.stelle <sic>Si</sic> n(on) tantu(m) v(num) | ma(r)e #.s(ed) pl(ur)es aq(ue) i(n) vna | (con)g(re)ga(tione) dicun(tur) v(num) ma(r)e … q(ua)re ar(i)da (et) n(on) t(er)ra | de(us) dix(er)it","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000057</id></teiHeader><text><body><p><w>Sic(ut) n(on) t(antu)m duo l(u)m(in)aria | ſ(ed) (et) ſtelle </w><sic><w>Si</w></sic><w> n(on) tantu(m) v(num) | ma(r)e ſ(ed) pl(ur)es aq(ue) i(n) vna | (con)g(re)ga(tione) dicun(tur) v(num) ma(r)e … q(ua)re ar(i)da (et) n(on) t(er)ra | de(us) dix(er)it</w></p></body></text></TEI>","Sicut non tantum duo luminaria ſed et ſtelle Si non tantum vnum mare ſed plures aque in vna congregatione dicuntur vnum mare … quare arida et non terra deus dixerit"
"AN_0015_000058","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","142vb","q(ua)li(tates) 4(or) | elem(en)to(rum) … T(er)ra aque | (con)necti(tur) … vide(tur) ampl(e)cti | f(ri)gido t(er)ra(m) | aerem.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000058</id></teiHeader><text><body><p><w>q(ua)li(tates) 4(or) | elem(en)to(rum) … T(er)ra aque | (con)necti(tur) … vide(tur) ampl(e)cti | f(ri)gido t(er)ra(m) | aerem.</w></p></body></text></TEI>","qualitates 4or elementorum … Terra aque connectitur … videtur amplecti frigido terram aerem."
"AN_0015_000059","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276","","143rb","fruct(us) mar(is) e(ius) cu(m) laude","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0015_000059</id></teiHeader><text><body><p><w>fruct(us) mar(is) e(ius) cu(m) laude</w></p></body></text></TEI>","fructus maris eius cum laude"
